Group,Century,Temperature
1,19,5.75
1,19,5.433333333
1,19,4.6
1,19,4.633333333
1,19,3.9
1,19,5.25
1,19,5.433333333
1,19,5.233333333
1,19,4.575
1,19,4.983333333
1,19,6.5
1,19,3.925
1,19,5.708333333
1,19,4.216666667
1,19,5.691666667
1,19,4.808333333
1,19,5.566666667
1,19,6.533333333
1,19,6.85
1,19,4.616666667
1,19,5.441666667
1,19,7.508333333
1,19,5.6
1,19,6.566666667
1,19,6.141666667
1,19,7.133333333
1,19,5.766666667
1,19,5.291666667
1,19,3.366666667
1,19,4.875
1,19,5.291666667
1,19,5.433333333
1,19,5.658333333
1,19,6.6
1,19,5.458333333
1,19,4.883333333
1,19,4.691666667
1,19,3.725
1,19,5.15
1,19,5.15
1,19,5.5
1,19,6.308333333
1,19,5.625
1,19,3.958333333
1,19,4.916666667
1,19,6.341666667
1,19,5.383333333
1,19,5.55
1,19,4.941666667
1,19,5.291666667
1,19,5.916666667
1,19,5.916666667
1,19,5.391666667
1,19,6.35
1,19,4.716666667
1,19,4.55
1,19,6.6
1,19,6.866666667
1,19,6.575
1,19,4.883333333
1,19,5.491666667
1,19,4.583333333
1,19,6.716666667
1,19,4.541666667
1,19,5.4
1,19,5.358333333
1,19,3.225
1,19,6.4
1,19,5.566666667
1,19,5.025
1,19,3.666666667
1,19,6.816666667
1,19,6.316666667
1,19,5.866666667
1,19,4.133333333
1,19,4.733333333
1,19,4.525
1,19,5.983333333
1,19,4.525
1,19,5.466666667
1,19,3.833333333
1,19,6.4
1,19,5.691666667
1,19,5.675
1,19,4.816666667
1,19,5.733333333
1,19,5.716666667
1,19,3.633333333
1,19,5.475
1,19,6.008333333
1,19,5.758333333
1,19,4.7
1,19,4.558333333
1,19,6.608333333
1,19,5.283333333
1,19,6.391666667
1,19,5.975
1,19,6.05
1,19,5.283333333
1,19,5.225
2,20,6.075
2,20,3.766666667
2,20,5.983333333
2,20,5.141666667
2,20,5.958333333
2,20,6.391666667
2,20,5.283333333
2,20,5.55
2,20,4.908333333
2,20,6.5
2,20,6.675
2,20,5.55
2,20,6.491666667
2,20,7.033333333
2,20,4.283333333
2,20,5.466666667
2,20,5.025
2,20,5.858333333
2,20,5.116666667
2,20,6.608333333
2,20,6.508333333
2,20,4.825
2,20,4.766666667
2,20,5.516666667
2,20,5.925
2,20,5.45
2,20,5.4
2,20,5.125
2,20,5.316666667
2,20,7.175
2,20,4.8
2,20,6.291666667
2,20,6
2,20,7.766666667
2,20,6.55
2,20,6.658333333
2,20,6.808333333
2,20,7.633333333
2,20,6.741666667
2,20,4.391666667
2,20,4.275
2,20,3.983333333
2,20,7.25
2,20,6.6
2,20,6.45
2,20,6.108333333
2,20,5.641666667
2,20,6.516666667
2,20,7.45
2,20,6.441666667
2,20,6.375
2,20,5.116666667
2,20,7.108333333
2,20,5.683333333
2,20,5.458333333
2,20,4.425
2,20,5.808333333
2,20,5.133333333
2,20,7.05
2,20,5.866666667
2,20,6.858333333
2,20,4.966666667
2,20,5.233333333
2,20,5.991666667
2,20,4.966666667
2,20,4.966666667
2,20,6.325
2,20,5.8
2,20,5.641666667
2,20,4.691666667
2,20,6.108333333
2,20,6.841666667
2,20,6.591666667
2,20,6.883333333
2,20,7.625
2,20,5.466666667
2,20,5.633333333
2,20,5.15
2,20,5.183333333
2,20,5.275
2,20,5.25
2,20,6.25
2,20,6.733333333
2,20,6.591666667
2,20,3.958333333
2,20,5.366666667
2,20,4.208333333
2,20,6.216666667
2,20,7.658333333
2,20,7.6
2,20,6.575
2,20,7.191666667
2,20,6.25
2,20,6.55
2,20,6.375
2,20,5.658333333
2,20,6.966666667
2,20,6.125
2,20,7.441666667
2,20,7.7
