Group,Year,Annual temperature
1,1970,6.108333333
1,1970,6.841666667
1,1970,6.591666667
1,1970,6.883333333
1,1970,7.625
1,1970,5.466666667
1,1970,5.633333333
1,1970,5.15
1,1970,5.183333333
1,1970,5.275
2,1980,5.25
2,1980,6.25
2,1980,6.733333333
2,1980,6.591666667
2,1980,3.958333333
2,1980,5.366666667
2,1980,4.208333333
2,1980,6.216666667
2,1980,7.658333333
2,1980,7.6
3,1990,6.575
3,1990,7.191666667
3,1990,6.25
3,1990,6.55
3,1990,6.375
3,1990,5.658333333
3,1990,6.966666667
3,1990,6.125
3,1990,7.441666667
3,1990,7.7
4,2000,6.766666667
4,2000,7.325
4,2000,6.933333333
4,2000,6.816666667
4,2000,7.166666667
4,2000,7.65
4,2000,7.375
4,2000,7.75
4,2000,6.883333333
5,2010,7.7
5,2010,6.441666667
5,2010,7.025
5,2010,8.041666667
5,2010,7.916666667
5,2010,7.383333333
5,2010,7.175
5,2010,8.033333333
5,2010,7.783333333
5,2010,8.966666667
